Filiale,Datum,Artikelgruppe,Umsatz
1,2015-01-07,1,50.092234807956295
1,2015-01-27,1,57.0023413986232
1,2015-01-30,1,52.92082471244701
1,2015-02-02,1,89.3434740310618
1,2015-02-05,1,68.71749843285599
1,2015-02-28,1,73.0401376275615
1,2015-03-03,1,53.6868537497518
1,2015-03-06,1,68.2143281574762
1,2015-03-09,1,60.0963972082516
1,2015-04-01,1,47.100046634899996
1,2015-04-04,1,72.10594061482229
1,2015-04-07,1,69.4055792194724
1,2015-04-30,1,66.2649520816591
1,2015-05-06,1,87.78373063570801
1,2015-05-29,1,60.287547675178295
1,2015-06-01,1,89.8958730774516
1,2015-06-04,1,52.9969757737654
1,2015-06-27,1,62.950899699132606
1,2015-06-30,1,54.5410109196385
1,2015-07-03,1,73.2337185241215
1,2015-07-06,1,77.06833507200508
1,2015-07-29,1,90.3912055135887
1,2015-08-01,1,73.4152984768368
1,2015-08-04,1,58.65249344773189
1,2015-08-07,1,88.90981663039709
1,2015-08-27,1,49.190467419376404
1,2015-09-02,1,45.4614844646354
1,2015-09-05,1,57.9784309919961
1,2015-09-28,1,60.8845254787791
1,2015-10-01,1,49.545927803319906
1,2015-10-27,1,77.87188859552059
1,2015-10-30,1,67.2544733741211
1,2015-11-02,1,77.7310461177083
1,2015-11-05,1,58.0547357693272
1,2015-11-25,1,70.51412143091609
1,2015-11-28,1,62.977574862950895
1,2015-12-01,1,58.2122356034223
1,2015-12-04,1,60.3808122360728
1,2015-12-30,1,90.4194172780907
1,2016-01-02,1,63.1615388094983
1,2016-01-25,1,58.6845863371653
1,2016-01-28,1,60.6283026622624
1,2016-02-03,1,60.50870726129661
1,2016-02-23,1,50.6038680136164
1,2016-02-26,1,70.5677804147763
1,2016-02-29,1,48.9960070064336
1,2016-03-03,1,57.3804441347287
1,2016-03-26,1,95.23781800302471
1,2016-03-29,1,50.742039371238
1,2016-04-01,1,60.4032551683259
1,2016-04-04,1,71.619752084669
1,2016-04-27,1,61.5733752354778
1,2016-04-30,1,44.3425587292889
1,2016-05-03,1,61.131706633311396
1,2016-05-26,1,69.5051373870361
1,2016-06-01,1,58.0376088068542
1,2016-06-24,1,60.633859638138105
1,2016-06-27,1,73.2530897188779
1,2016-06-30,1,50.59852723547421
